offset,acc,n,subject
2.5,0.5,14,37
2.75,0.5,14,37
3.0,0.5,14,37
3.25,0.5,14,37
3.5,0.5,14,37
3.75,0.5,14,37
4.0,0.5,14,37
0.5,0.5714285714285714,14,38
0.75,0.42857142857142855,14,38
1.0,0.42857142857142855,14,38
1.25,0.42857142857142855,14,38
1.5,0.5,14,38
1.75,0.42857142857142855,14,38
2.0,0.42857142857142855,14,38
2.25,0.35714285714285715,14,38
2.5,0.42857142857142855,14,38
2.75,0.5,14,38
3.0,0.5,14,38
3.25,0.5714285714285714,14,38
3.5,0.6428571428571429,14,38
3.75,0.6428571428571429,14,38
4.0,0.6428571428571429,14,38
0.5,0.42857142857142855,14,39
0.75,0.35714285714285715,14,39
1.0,0.42857142857142855,14,39
1.25,0.35714285714285715,14,39
1.5,0.42857142857142855,14,39
1.75,0.5,14,39
2.0,0.5,14,39
2.25,0.5,14,39
2.5,0.5714285714285714,14,39
2.75,0.5,14,39
3.0,0.42857142857142855,14,39
3.25,0.42857142857142855,14,39
3.5,0.42857142857142855,14,39
3.75,0.42857142857142855,14,39
4.0,0.42857142857142855,14,39
0.5,0.5,14,40
0.75,0.5714285714285714,14,40
1.0,0.7142857142857143,14,40
1.25,0.6428571428571429,14,40
1.5,0.6428571428571429,14,40
1.75,0.6428571428571429,14,40
2.0,0.6428571428571429,14,40
2.25,0.6428571428571429,14,40
2.5,0.5714285714285714,14,40
2.75,0.5714285714285714,14,40
3.0,0.5714285714285714,14,40
3.25,0.6428571428571429,14,40
3.5,0.7857142857142857,14,40
3.75,0.5,14,40
4.0,0.5,14,40
0.5,0.5,14,41
0.75,0.5,14,41
1.0,0.42857142857142855,14,41
1.25,0.5,14,41
1.5,0.5,14,41
1.75,0.42857142857142855,14,41
2.0,0.42857142857142855,14,41
2.25,0.5,14,41
2.5,0.5714285714285714,14,41
2.75,0.5,14,41
3.0,0.5714285714285714,14,41
3.25,0.5714285714285714,14,41
3.5,0.5714285714285714,14,41
3.75,0.35714285714285715,14,41
4.0,0.5,14,41
0.5,0.5,14,42
0.75,0.5,14,42
1.0,0.5,14,42
1.25,0.6428571428571429,14,42
1.5,0.8571428571428571,14,42
1.75,0.8571428571428571,14,42
2.0,1.0,14,42
2.25,1.0,14,42
2.5,0.9285714285714286,14,42
2.75,0.8571428571428571,14,42
3.0,0.8571428571428571,14,42
3.25,0.7142857142857143,14,42
3.5,0.7857142857142857,14,42
3.75,0.9285714285714286,14,42
4.0,0.8571428571428571,14,42
0.5,0.5714285714285714,14,43
0.75,0.7142857142857143,14,43
1.0,0.7142857142857143,14,43
1.25,0.7142857142857143,14,43
1.5,0.7142857142857143,14,43
1.75,0.7857142857142857,14,43
2.0,0.7857142857142857,14,43
2.25,0.7857142857142857,14,43
2.5,0.6428571428571429,14,43
2.75,0.6428571428571429,14,43
3.0,0.7142857142857143,14,43
3.25,0.5714285714285714,14,43
3.5,0.7142857142857143,14,43
3.75,0.7857142857142857,14,43
4.0,0.8571428571428571,14,43
0.5,0.5714285714285714,14,44
0.75,0.5714285714285714,14,44
1.0,0.5,14,44
1.25,0.6428571428571429,14,44
1.5,0.7142857142857143,14,44
